A02AD01 Magnesio idrossido/algeld 020702054 MAALOX 40 cpr mast 800 mg SANOFI-AVENTIS RR 2,17 2,16
A02BA02 Ranitidina 035333032 DOLILUX 20 cpr riv 300 mg 48 FARMA 1 RR 14,04 13,96 G
A02BA02 Ranitidina 025241050 RANIBEN 20 cpr riv 150 mg 48 F.I.R.M.A. RR 6,23 6,19 G
A02BA02 Ranitidina 025241124 RANIBEN 10 cpr eff 300 mg 48 F.I.R.M.A. RR 13,65 13,57 G
A02BA02 Ranitidina 025241100 RANIBEN 20 cpr eff 150 mg 48 F.I.R.M.A. RR 14,14 14,06 G
A02BA02 Ranitidina 025241098 RANIBEN scir 200 ml 150 mg/10 ml 48 F.I.R.M.A. RR 17,55 17,33 X
A02BA02 Ranitidina 025241086 RANIBEN 20 cpr riv 300 mg 48 F.I.R.M.A. RR 14,04 13,96 G
A02BA02 Ranitidina 025490018 RANIBLOC 20 cpr riv 150 mg 48 GLAXO ALLEN RR 6,23 6,19 G
A02BA02 Ranitidina 025490057 RANIBLOC 20 cpr riv 300 mg 48 GLAXO ALLEN RR 14,04 13,96 G
A02BA02 Ranitidina 028525018 RANIDEX 10 cpr riv 300 mg 48 OFF RR 6,77 6,73 G
A02BA02 Ranitidina 024447031 RANIDIL 10 fiale EV 50 mg 5 ml 48 MENARINI RR 10,16 10,10 G
A02BA02 Ranitidina 024447094 RANIDIL 10 cpr eff 300 mg 48 MENARINI RR 13,65 13,57 G
A02BA02 Ranitidina 024447029 RANIDIL 20 cpr riv 150 mg 48 MENARINI RR 14,14 14,06 G
A02BA02 Ranitidina 024447070 RANIDIL 20 cpr eff 150 mg 48 MENARINI RR 14,14 14,06 G
A02BA02 Ranitidina 024447118 RANIDIL 20 bust grat solub 150 mg 48 MENARINI RR 14,14 14,06 G
A02BA02 Ranitidina 024447068 RANIDIL scir 200 ml 150 mg/10 ml 48 MENARINI RR 17,55 17,33 X
A02BA02 Ranitidina 024447056 RANIDIL 20 cpr riv 300 mg 48 MENARINI RR 25,72 25,57 G
A02BA02 Ranitidina 035501028 RANITIDINA 10 cpr riv 300 mg 48 MAGIS RR 6,77 6,73 G
A02BA02 Ranitidina 035701022 RANITIDINA 10 cpr riv 300 mg 48 NEW RESEARCH RR 6,77 6,73 G
A02BA02 Ranitidina 035302138 RANITIDINA 20 cpr riv 150 mg 48 MERCK GENERICS RR 6,23 6,19 G
A02BA02 Ranitidina 035505015 RANITIDINA 20 cpr riv 150 mg 48 ABC RR 6,23 6,19 G
A02BA02 Ranitidina 035702012 RANITIDINA 20 cpr riv 150 mg 48 ALTER RR 6,23 6,19 G
A02BA02 Ranitidina 035752017 RANITIDINA 20 cpr riv 150 mg 48 ANGENERICO RR 6,23 6,19 G
A02BA02 Ranitidina 034471019 RANITIDINA 20 cpr riv 150 mg 48 DOC GENERICI RR 6,23 6,19 G
A02BA02 Ranitidina 035387024 RANITIDINA 20 cpr riv 150 mg 48 EG RR 6,23 6,19 G
A02BA02 Ranitidina 035334022 RANITIDINA 20 cpr riv 150 mg 48 FARMACEUTICI T.S. RR 6,23 6,19 G
A02BA02 Ranitidina 035331014 RANITIDINA 20 cpr riv 150 mg 48 HEXAL RR 6,23 6,19 G
A02BA02 Ranitidina 035688011 RANITIDINA 20 cpr riv 150 mg 48 I.BIR.N RR 6,23 6,19 G
A02BA02 Ranitidina 035503010 RANITIDINA 20 cpr riv 150 mg 48 JET GENERICI RR 6,23 6,19 G
A02BA02 Ranitidina 035501016 RANITIDINA 20 cpr riv 150 mg 48 MAGIS RR 6,23 6,19 G
A02BA02 Ranitidina 035701010 RANITIDINA 20 cpr riv 150 mg 48 NEW RESEARCH RR 6,23 6,19 G
A02BA02 Ranitidina 035502018 RANITIDINA 20 cpr riv 150 mg 48 PANTAFARM RR 6,23 6,19 G
A02BA02 Ranitidina 035332028 RANITIDINA 20 cpr riv 150 mg 48 PLIVA RR 6,23 6,19 G
A02BA02 Ranitidina 034452108 RANITIDINA 20 cpr riv 150 mg 48 RANBAXY RR 6,23 6,19 G
A02BA02 Ranitidina 035397417 RANITIDINA 20 cpr riv 150 mg 48 RATIOPHARM RR 6,23 6,19 G
A02BA02 Ranitidina 035665025 RANITIDINA 20 cpr riv 150 mg 48 SANDOZ RR 6,23 6,19 G
A02BA02 Ranitidina 035860028 RANITIDINA 20 cpr riv 150 mg 48 TAD PHARMA RR 6,23 6,19 G
A02BA02 Ranitidina 035330024 RANITIDINA 20 cpr riv 150 mg 48 TEVA RR 6,23 6,19 G
A02BA02 Ranitidina 035752082 RANITIDINA 10 fiale 50 mg 5 ml 48 ANGENERICO RR 8,11 8,06 G
A02BA02 Ranitidina 035331089 RANITIDINA 10 fiale 50 mg 5 ml 48 HEXAL RR 8,11 8,06 G
A02BA02 Ranitidina 035752056 RANITIDINA 20 cpr riv 300 mg 48 ANGENERICO RR 14,04 13,96 G
A02BA02 Ranitidina 034471021 RANITIDINA 20 cpr riv 300 mg 48 DOC GENERICI RR 14,04 13,96 G
A02BA02 Ranitidina 035387149 RANITIDINA 20 cpr riv 300 mg 48 EG RR 14,04 13,96 G
A02BA02 Ranitidina 035334034 RANITIDINA 20 cpr riv 300 mg 48 FARMACEUTICI T.S. RR 14,04 13,96 G
A02BA02 Ranitidina 035331053 RANITIDINA 20 cpr riv 300 mg 48 HEXAL RR 14,04 13,96 G
A02BA02 Ranitidina 035503034 RANITIDINA 20 cpr riv 300 mg 48 JET GENERICI RR 14,04 13,96 G
A02BA02 Ranitidina 035302330 RANITIDINA 20 cpr riv 300 mg 48 MERCK GENERICS RR 14,04 13,96 G
A02BA02 Ranitidina 035502032 RANITIDINA 20 cpr riv 300 mg 48 PANTAFARM RR 14,04 13,96 G
A02BA02 Ranitidina 035332030 RANITIDINA 20 cpr riv 300 mg 48 PLIVA RR 14,04 13,96 G
A02BA02 Ranitidina 034452110 RANITIDINA 20 cpr riv 300 mg 48 RANBAXY RR 14,04 13,96 G
A02BA02 Ranitidina 035398229 RANITIDINA 20 cpr riv 300 mg 48 RATIOPHARM RR 14,04 13,96 G
A02BA02 Ranitidina 035665090 RANITIDINA 20 cpr riv 300 mg 48 SANDOZ RR 14,04 13,96 G
A02BA02 Ranitidina 034451118 RANITIDINA 20 cpr riv 300 mg 48 SIGMATAU GENERICS RR 14,04 13,96 G
A02BA02 Ranitidina 035860067 RANITIDINA 20 cpr riv 300 mg 48 TAD PHARMA RR 14,04 13,96 G
A02BA02 Ranitidina 035330036 RANITIDINA 20 cpr riv 300 mg 48 TEVA RR 14,04 13,96 G
A02BA02 Ranitidina 035701034 RANITIDINA 20cpr riv 300 mg 48 NEW RESEARCH RR 14,04 13,96 G
A02BA02 Ranitidina 035335025 SENSIGARD 20 cpr riv 150 mg 48 COPERNICO RR 6,23 6,19 G
A02BA02 Ranitidina 035335037 SENSIGARD 20 cpr riv 300 mg 48 COPERNICO RR 14,04 13,96 G
A02BA02 Ranitidina 025084017 ULCEX 20 cpr riv 150 mg 48 GUIDOTTI RR 6,23 6,19 G
A02BA02 Ranitidina 025084031 ULCEX 10 fiale EV 50 mg 5 ml 48 GUIDOTTI RR 10,16 10,10 G
A02BA02 Ranitidina 025084056 ULCEX 20 cpr riv 300 mg 48 GUIDOTTI RR 14,04 13,96 G
A02BA02 Ranitidina 025084094 ULCEX 10 cpr eff 300 mg 48 GUIDOTTI RR 13,65 13,57 G
A02BA02 Ranitidina 025084070 ULCEX 20 cpr eff 150 mg 48 GUIDOTTI RR 14,14 14,06 G
A02BA02 Ranitidina 024448033 ZANTAC 10 fiale 50 mg 5 ml 48 GLAXOSMITHKLINE RR 10,16 10,10 G
A02BA02 Ranitidina 024448096 ZANTAC 10 cpr eff 300 mg 48 GLAXOSMITHKLINE RR 13,65 13,57 G
A02BA02 Ranitidina 024448021 ZANTAC 20 cpr riv 150 mg 48 GLAXOSMITHKLINE RR 14,14 14,06 G
A02BA02 Ranitidina 024448072 ZANTAC 20 cpr eff 150 mg 48 GLAXOSMITHKLINE RR 14,14 14,06 G
A02BA02 Ranitidina 024448110 ZANTAC 20 bust grat 150 mg 48 GLAXOSMITHKLINE RR 14,14 14,06 G
A02BA02 Ranitidina 024448060 ZANTAC scir 200 ml 150 mg/10 ml 48 GLAXOSMITHKLINE RR 17,55 17,33 X
A02BA02 Ranitidina 024448058 ZANTAC 20 cpr riv 300 mg 48 GLAXOSMITHKLINE RR 25,72 25,57 G
A02BA03 Famotidina 025924010 FAMODIL 10 cpr 40 mg 48 SIGMATAU RR 11,84 11,77 G
A02BA03 Famotidina 025924034 FAMODIL 10 fiale EV 20 mg + 10 fiale sol 48 SIGMATAU RR 23,59 23,31 X
A02BA03 Famotidina 034433096 FAMOTIDINA 10 cpr riv 40 mg 48 EG RR 7,45 7,41 G
A02BA03 Famotidina 025925013 GASTRIDIN 10 cpr riv 40 mg 48 MERCK SHARP & DOHME RR 11,84 11,77 G
A02BA03 Famotidina 026040030 MOTIAX 10 cpr riv 40 mg 48 NEOPHARMED RR 11,84 11,77 G
A02BA04 Nizatidina 026617023 CRONIZAT 10 cps 300 mg 48 CABER RR 11,05 10,91 X
A02BA04 Nizatidina 026617011 CRONIZAT 20 cps 150 mg 48 CABER RR 11,58 11,44 X
A02BA04 Nizatidina 026616021 NIZAX 10 cps 300 mg 48 TEOFARMA RR 11,97 11,83 X
A02BA04 Nizatidina 026616019 NIZAX 20 cps 150 mg 48 TEOFARMA RR 12,55 12,39 X
A02BA06 Roxatidina 027778012 GASTRALGIN 28 cpr riv 75 mg rilascio prolung 48 DE ANGELI RR 18,38 18,16 X X
A02BA06 Roxatidina 027778024 GASTRALGIN 14 cpr riv 150 mg rilascio prolun 48 DE ANGELI RR 18,38 18,16 X X
A02BA06 Roxatidina 027777010 NEOH 2 28 cpr riv 75 mg rilascio prolung 48 BONISCONTRO & GAZZONE RR 17,46 17,26 X
A02BA06 Roxatidina 027777022 NEOH 2 14 cpr riv 150 mg rilascio prolun 48 BONISCONTRO & GAZZONE RR 17,46 17,26 X
A02BA06 Roxatidina 026774012 ROXIT 28 cpr riv 75 mg rilascio prolung 48 SANOFI-AVENTIS RR 17,46 17,26 X
A02BA06 Roxatidina 026774024 ROXIT 14 cpr riv 150 mg rilascio prolun 48 SANOFI-AVENTIS RR 17,46 17,26 X
A02BB01 Misoprostolo 026488015 CYTOTEC 50 cpr 200 mcg 1 CONTINENTAL PHARMA INC RNR 13,97 13,81 X
A02BB01 Misoprostolo 027307014 MISODEX 50 cpr 200 mcg 1 PFIZER ITALIA RNR 13,97 13,81 X
A02BC01 Omeprazolo 028245114 ANTRA 14 cps 10 mg rilascio modificato 1 48 ASTRAZENECA RR 11,29 11,15 X
A02BC01 Omeprazolo 028245090 ANTRA 14 cps 20 mg rilascio modificato 1 48 ASTRAZENECA RR 23,87 23,59 X
A02BC01 Omeprazolo 026804082 LOSEC 14 cps 10 mg rilascio modificato 1 48 ASTRAZENECA AB RR 11,29 11,15 X
A02BC01 Omeprazolo 026804106 LOSEC 14 cps 20 mg rilascio modificato 1 48 ASTRAZENECA AB RR 23,87 23,59 X
A02BC01 Omeprazolo 026783086 MEPRAL 14 cps 10 mg rilascio modificato 1 48 BRACCO RR 11,29 11,15 X
A02BC01 Omeprazolo 026783098 MEPRAL 14 cps 20 mg rilascio modificato 1 48 BRACCO RR 23,87 23,59 X
A02BC01 Omeprazolo 026803080 OMEPRAZEN 14 cps 10 mg rilascio modificato 1 48 MALESCI RR 11,29 11,15 X
A02BC01 Omeprazolo 026803104 OMEPRAZEN 14 cps 20 mg rilascio modificato 1 48 MALESCI RR 23,87 23,59 X
A02BC02 Pantoprazolo 031834029 PANTECTA 14 cpr gastrores 20 mg 1 48 ABBOTT RR 10,53 10,41 X
A02BC02 Pantoprazolo 031834094 PANTECTA 14 cpr gastrores 20 mg flacone 1 48 ABBOTT RR 10,53 10,41 X
A02BC02 Pantoprazolo 031834296 PANTECTA 14 cpr gastrores 40 mg 1 48 ABBOTT RR 21,34 21,08 X
A02BC02 Pantoprazolo 031835022 PANTOPAN 14 cpr gastrores 20 mg 1 48 ALMIRALL RR 10,53 10,41 X
A02BC02 Pantoprazolo 031835097 PANTOPAN 14 cpr gastrores 20 mg flacone 1 48 ALMIRALL RR 10,53 10,41 X
A02BC02 Pantoprazolo 031835287 PANTOPAN 14 cpr gastrores 40 mg 1 48 ALMIRALL RR 21,34 21,08 X
A02BC02 Pantoprazolo 031981044 PANTORC 14 cpr gastrores 20 mg 1 48 ALTANA PHARMA RR 10,53 10,41 X
A02BC02 Pantoprazolo 031981119 PANTORC 14 cpr gastrores 20 mg flacone 1 48 ALTANA PHARMA RR 10,53 10,41 X
A02BC02 Pantoprazolo 031981311 PANTORC 14 cpr gastrores 40 mg 1 48 ALTANA PHARMA RR 21,34 21,08 X
A02BC02 Pantoprazolo 031111026 PEPTAZOL 14 cpr gastrores 20 mg 1 48 RECORDATI RR 10,53 10,41 X
A02BC02 Pantoprazolo 031111091 PEPTAZOL 14 cpr gastrores 20 mg flacone 1 48 RECORDATI RR 10,53 10,41 X
A02BC02 Pantoprazolo 031111293 PEPTAZOL 14 cpr gastrores 40 mg 1 48 RECORDATI RR 21,34 21,08 X
A02BC03 Lansoprazolo 036891087 LANSOPRAZOLO 14 cps 15 mg 1 48 EG RR 5,76 5,73 G
A02BC03 Lansoprazolo 036757021 LANSOPRAZOLO 14 cps 15 mg 1 48 MERCK GENERICS RR 5,76 5,73 G
A02BC03 Lansoprazolo 036916183 LANSOPRAZOLO 14 cps 15 mg 1 48 RATIOPHARM RR 5,76 5,73 G
A02BC03 Lansoprazolo 036920294 LANSOPRAZOLO 14 cps 15 mg 1 48 TEVA RR 5,76 5,73 G
A02BC03 Lansoprazolo 036853012 LANSOPRAZOLO 14 cps 15 mg 1 48 DOC GENERICI RR 5,76 5,73 G
A02BC03 Lansoprazolo 037131036 LANSOPRAZOLO 14 cps 15 mg 1 48 HEXAL RR 5,76 5,73 G
A02BC03 Lansoprazolo 037124031 LANSOPRAZOLO 14 cps 15 mg 1 48 SANDOZ RR 5,76 5,73 G
A02BC03 Lansoprazolo 036891048 LANSOPRAZOLO 14 cps 30 mg 1 48 EG RR 10,67 10,61 G
A02BC03 Lansoprazolo 036757134 LANSOPRAZOLO 14 cps 30 mg 1 48 MERCK GENERICS RR 10,67 10,61 G
A02BC03 Lansoprazolo 036916462 LANSOPRAZOLO 14 cps 30 mg 1 48 RATIOPHARM RR 10,67 10,61 G
A02BC03 Lansoprazolo 036920256 LANSOPRAZOLO 14 cps 30 mg 1 48 TEVA RR 10,67 10,61 G
A02BC03 Lansoprazolo 036853036 LANSOPRAZOLO 14 cps 30 mg 1 48 DOC GENERICI RR 10,67 10,61 G
A02BC03 Lansoprazolo 037131152 LANSOPRAZOLO 14 cps 30 mg 1 48 HEXAL RR 10,67 10,61 G
A02BC03 Lansoprazolo 037124169 LANSOPRAZOLO 14 cps 30 mg 1 48 SANDOZ RR 10,67 10,61 G
A02BC03 Lansoprazolo 028600029 LANSOX 14 cps 15 mg 1 48 TAKEDA RR 6,14 6,10 G
A02BC03 Lansoprazolo 028600070 LANSOX 14 cpr orodispers 15 mg 1 48 TAKEDA RR 7,04 7,00 G
A02BC03 Lansoprazolo 028600094 LANSOX 14 cpr orodispers 30 mg 1 48 TAKEDA RR 12,04 11,97 G
A02BC03 Lansoprazolo 028600017 LANSOX 14 cps 30 mg 1 48 TAKEDA RR 11,13 11,06 G
A02BC03 Lansoprazolo 028755027 LIMPIDEX 14 cps 15 mg 1 48 SIGMATAU RR 6,14 6,10 G
A02BC03 Lansoprazolo 028755078 LIMPIDEX 14 cpr orodispers 15 mg 1 48 SIGMATAU RR 7,04 7,00 G
A02BC03 Lansoprazolo 028755092 LIMPIDEX 14 cpr orodispers 30 mg 1 48 SIGMATAU RR 12,04 11,97 G
A02BC03 Lansoprazolo 028755015 LIMPIDEX 14 cps 30 mg 1 48 SIGMATAU RR 11,13 11,06 G
A02BC03 Lansoprazolo 028775029 ZOTON 14 cps 15 mg 1 48 WYETH LEDERLE RR 6,14 6,10 G
A02BC03 Lansoprazolo 028775070 ZOTON 14 cpr orodispers 15 mg 1 48 WYETH LEDERLE RR 7,03 6,99 G
A02BC03 Lansoprazolo 028775094 ZOTON 14 cpr orodispers 30 mg 1 48 WYETH LEDERLE RR 12,03 11,96 G
A02BC03 Lansoprazolo 028775017 ZOTON 14 cps 30 mg 1 48 WYETH LEDERLE RR 11,13 11,06 G
A02BC04 Rabeprazolo 034216022 PARIET 14 cpr gastrores 10 mg 1 48 JANSSEN CILAG RR 10,02 9,90 X
A02BC04 Rabeprazolo 034216186 PARIET 14 cpr gastrores 20 mg 1 48 JANSSEN CILAG RR 18,42 18,20 X
A02BC05 Esomeprazolo 035035157 AXAGON 14 cpr gastrores 20 mg 1 48 SIMESA RR 18,42 18,20 X
A02BC05 Esomeprazolo 035035563 AXAGON 14 cpr gastrores 40 mg 1 48 SIMESA RR 23,88 23,60 X
A02BC05 Esomeprazolo 035433022 ESOPRAL 14 cpr gastrores 20 mg 1 48 BRACCO RR 18,42 18,20 X
A02BC05 Esomeprazolo 035433174 ESOPRAL 14 cpr gastrores 40 mg 1 48 BRACCO RR 23,88 23,60 X
A02BC05 Esomeprazolo 035367263 LUCEN 14 cpr gastrores 20 mg 1 48 MALESCI RR 18,42 18,20 X
A02BC05 Esomeprazolo 035367414 LUCEN 14 cpr gastrores 40 mg 1 48 MALESCI RR 23,88 23,60 X
A02BC05 Esomeprazolo 034972265 NEXIUM 14 cpr gastrores 20 mg 1 48 ASTRAZENECA RR 18,42 18,20 X
A02BC05 Esomeprazolo 034972416 NEXIUM 14 cpr gastrores 40 mg 1 48 ASTRAZENECA RR 23,88 23,60 X
A02BX02 Sucralfato 022803074 ANTEPSIN 30 bust polv os 2 g BALDACCI RR 5,42 5,39 G
A02BX02 Sucralfato 022803035 ANTEPSIN 40 cpr 1 g BALDACCI RR 7,46 7,42 G
A02BX02 Sucralfato 022803047 ANTEPSIN os sosp 200 ml 20% BALDACCI RR 8,49 8,39 X
A02BX02 Sucralfato 028190027 CITOGEL 30 bust gel os 2 g 10 ml GEYMONAT RR 7,68 7,63 G
A02BX02 Sucralfato 028779027 CRAFILM 30 bust os sosp 1 g 5 ml FRANCIA RR 4,11 4,09 G
A02BX02 Sucralfato 028779015 CRAFILM os sosp 200 ml 20% FRANCIA RR 7,64 7,54 X
A02BX02 Sucralfato 033491010 ESCUDO 30 bust grat 2 g LAMPUGNANI RR 5,42 5,39 G
A02BX02 Sucralfato 027819022 GASTROGEL 30 bust gel os 2 g 10 ml GIULIANI RR 7,54 7,49 G
A02BX02 Sucralfato 033394026 SUCRALFATO 30 bust polv os 1 g MERCK GENERICS RR 4,11 4,09 G
A02BX02 Sucralfato 031838016 SUCRALFATO 30 bust grat 1 g PLIVA RR 4,11 4,09 G
A02BX02 Sucralfato 033136021 SUCRALFATO 30 bust polv os 1 g TEVA RR 4,11 4,09 G
A02BX02 Sucralfato 035134016 SUCRALFATO 30 bust grat 2 g ABC RR 5,42 5,39 G
A02BX02 Sucralfato 032101026 SUCRALFATO 30 bust polv os 2 g ANGENERICO RR 5,42 5,39 G
A02BX02 Sucralfato 032885030 SUCRALFATO 30 bust grat 2 g BENEDETTI RR 5,42 5,39 G
A02BX02 Sucralfato 034788012 SUCRALFATO 30 bust grat 2 g DOC GENERICI RR 5,42 5,39 G
A02BX02 Sucralfato 033394038 SUCRALFATO 30 bust polv os 2 g MERCK GENERICS RR 5,42 5,39 G
A02BX02 Sucralfato 031838028 SUCRALFATO 30 bust grat 2 g PLIVA RR 5,42 5,39 G
A02BX02 Sucralfato 033136033 SUCRALFATO 30 bust polv os 2 g TEVA RR 5,42 5,39 G
A02BX02 Sucralfato 025822053 SUCRALFIN 30 bust grat 2 g SANOFI-AVENTIS RR 5,87 5,83 G
A02BX02 Sucralfato 025822026 SUCRALFIN 40 cpr 1 g SANOFI-AVENTIS RR 7,46 7,42 G
A02BX02 Sucralfato 025822040 SUCRALFIN grat os sosp 200 ml 20% SANOFI-AVENTIS RR 8,49 8,39 X
A02BX02 Sucralfato 025724030 SUCRAMAL 30 bust grat 1 g SANOFI-AVENTIS RR 5,55 5,52 G
A02BX02 Sucralfato 025724055 SUCRAMAL 30 bust grat 2 g SANOFI-AVENTIS RR 5,87 5,83 G
A02BX02 Sucralfato 025724067 SUCRAMAL 40 cpr 1 g SANOFI-AVENTIS RR 7,46 7,42 G
A02BX02 Sucralfato 025724042 SUCRAMAL 40 cpr mast 1 g SANOFI-SYNTHELABO RR 7,46 7,42 G
A02BX02 Sucralfato 025652052 SUCRATE 30 bust gel os 2 g 10 ml LISAPHARMA RR 7,22 7,18 G
A02BX02 Sucralfato 032882021 SUCRORIL 30 bust grat 2 g SOFAR RR 5,42 5,39 G
A02BX02 Sucralfato 032882033 SUCRORIL grat os sosp 200 ml 20 g/100 ml SOFAR RR 7,64 7,54 X
A02BX02 Sucralfato 033379013 SUGAR 30 bust polv os 2 g FARMA 1 RR 5,42 5,39 G
A02BX02 Sucralfato 025762117 SUGAST 30 bust grat 2 g S.F. GROUP RR 5,42 5,39 G
A02BX02 Sucralfato 031900020 SURIL 30 bust grat 2 g I.BIR.N RR 5,87 5,83 G
A02BX02 Sucralfato 031900032 SURIL 30 cpr mast 2 g I.BIR.N RR 5,87 5,83 G
A02BX02 Sucralfato 033545017 ULCRAST 30 cpr mast 2 g BONISCONTRO & GAZZONE RR 5,42 5,39 G
A02BX02 Sucralfato 033545029 ULCRAST 30 bust grat 2 g BONISCONTRO & GAZZONE RR 5,42 5,39 G
A02BX02 Sucralfato 032884037 ZENODIAN 30 bust grat 2 g C.T. LABORATORIO FARMACEUTICO RR 7,22 7,18 G
A02BX05 Biskalammonio 025416037 DE NOL 40 cpr riv 120 mg ASTELLAS RR 10,49 10,37 X
A02BX13 Sodio alginato/potassio bic034248284 GAVISCON ADVANCE os sosp 200 ml menta RECKITT BENCKISER RR 4,79 4,76
A02BX13 Sodio alginato/potassio bic034248043 GAVISCON ADVANCE os sosp 200 ml RECKITT BENCKISER RR 4,79 4,76
A02BX13 Sodio alginato/potassio bic034248070 GAVISCON ADVANCE os sosp 180 ml RECKITT BENCKISER RR 4,79 4,76
A02BX13 Sodio alginato/potassio bic034248171 GAVISCON ADVANCE 20 bust os sosp 10 ml menta RECKITT BENCKISER RR 4,79 4,76
A02BX13 Sodio alginato/potassio bic034248068 GAVISCON ADVANCE os sosp 500 ml RECKITT BENCKISER RR 11,11 10,97 X X
A02BX13 Sodio alginato/potassio bic034248346 GAVISCON ADVANCE os sosp 500 ml menta RECKITT BENCKISER RR 11,11 10,97 X X
A03AA Pipetanato etobromuro 028580037 SPASMODIL 6 fiale IM EV 10 mg 1 ml ABC RR 2,43 2,42
A03AX12 Floroglucinolo 020851034 SPASMEX 10 fiale IM EV 40 mg 4 ml SCHARPER RR 4,71 4,68
A03BA01 Atropina solfato 029829037 ATROPINA SOLFATO 5 fiale 0,5 mg 1 ml GALENICA SENESE RR 1,63 1,62 G
A03BA01 Atropina solfato 030653012 ATROPINA SOLFATO 5 fiale 0,5 mg 1 ml SALF RR 1,59 1,58 G
A03BA01 Atropina solfato 031409016 ATROPINA SOLFATO 5 fiale 0,5 mg 1 ml FISIOPHARMA RR 1,68 1,67 G
A03BA01 Atropina solfato 030052029 ATROPINA SOLFATO 5 fiale 0,5 mg 1 ml MAYNE PHARMA RR 2,24 2,23 G
A03BA01 Atropina solfato 030783031 ATROPINA SOLFATO 5 fiale 0,5 mg 1 ml MONICO RR 2,80 2,78 G
A03BB01 Scopolamina butilbromuro 006979037 BUSCOPAN 6 fiale IM EV 20 mg 1 ml BOEHRINGER INGELHEIM RR 3,00 2,98
A03BB05 Cimetropio bromuro 025494016 ALGINOR 6 fiale IM EV 5 mg 1 ml BOEHRINGER INGELHEIM RR 2,48 2,47
A03FA Levosulpiride 027210044 LEVOBREN 6 fiale IM EV 25 mg 2 ml THERABEL GIENNE PHARMA RR 3,56 3,54
